,Country Name,Country Code,Change in Global Hunger Index,Population growth ,Population,Continent
0,Afghanistan,AFG,-16.9,141.2984379,35643420,Asia
1,Albania,ALB,-9.7,-9.789430125,2879361,Europe
2,Algeria,DZA,-8,46.68845927,41136548,Africa
3,Angola,AGO,-33.3,114.8254384,30208634,Africa
4,Argentina,ARG,-1.6,29.00777866,44054616,South America
5,Bangladesh,BGD,-27.1,44.93624351,161793968,Asia
6,Benin,BEN,-20.1,98.35601578,11596786,Africa
7,Bolivia (Plurinational State of),BOL,-19.5,50.38061715,11435535,South America
8,Botswana,BWA,-9.4,51.74796835,2401848,Africa
9,Brazil,BRA,-10.5,33.25336316,208504960,South America
10,Bulgaria,BGR,-2.5,-17.27529992,7182430,Europe
11,Burkina Faso,BFA,-19.4,94.79836375,19835860,Africa
12,Cambodia,KHM,-23.6,61.28076234,15830694,Asia
13,Cameroon,CMR,-17.9,84.01683433,24393182,Africa
14,Central African Republic,CAF,-1.3,46.84700952,4996741,Africa
15,Chad,TCD,-19,120.652333,15085893,Africa
16,Chile,CHL,-3.4,29.92933307,18368582,South America
17,China,CHN,-18.4,16.03189571,1410275968,Asia
18,Colombia,COL,-6.6,35.63127364,48351668,South America
19,Congo,COG,-13.5,93.8525476,5312347,Africa
20,Costa Rica,CRI,-2.2,47.59484827,4993849,North America
21,CÃ´te dâIvoire,CIV,-6.4,75.55601796,24848024,Africa
22,Cuba,CUB,-8,6.783232804,11336405,North America
23,Djibouti,DJI,-28.9,50.78578466,1040242,Africa
24,Dominican Republic,DOM,-12.2,40.96970082,10647247,North America
25,Ecuador,ECU,-7.9,50.8020752,16696947,South America
26,Egypt,EGY,-5.4,56.20443199,101789384,Africa
27,El Salvador,SLV,-8.4,16.89057578,6266661,North America
28,Eswatini,SWZ,-2.8,45.5807398,1151397,Africa
29,Fiji,FJI,-3.4,19.82697833,919022,Oceania
30,Gabon,GAB,-10.4,92.11915085,2140225,Africa
31,Gambia,GMB,-12,101.8529822,2381189,Africa
32,Ghana,GHA,-25.7,78.36963541,30222266,Africa
33,Guatemala,GTM,-7.8,67.40336141,16578718,North America
34,Guinea,GIN,-17.9,78.89958303,12240791,Africa
35,Guinea-Bissau,GNB,-13.9,66.5907038,1879835,Africa
36,Guyana,GUY,-8.6,2.724110921,763265,South America
37,Haiti,HTI,-17.4,44.99928591,10863546,North America
38,Honduras,HND,-11.6,70.75283984,9626845,North America
39,India,IND,-14.8,44.48382307,1354195712,Asia
40,Indonesia,IDN,-13,37.49133496,264498848,Asia
41,Iran (Islamic Republic of),IRN,-9.9,36.21606591,84505080,Asia
42,Iraq,IRQ,1.1,95.66193605,39621156,Asia
43,Jamaica,JAM,-4,16.49137125,2808388,North America
44,Jordan,JOR,-6.7,130.8176659,10215384,Asia
45,Kenya,KEN,-18.1,89.21784586,48948140,Africa
46,Kuwait,KWT,-17.5,105.3232419,4124904,Asia
47,Lao People's Democratic Republic,LAO,-24.8,48.01043363,6997925,Asia
48,Lebanon,LBN,-3.3,107.3623374,6109255,Asia
49,Lesotho,LSO,-2.4,30.4431412,2170622,Africa
50,Liberia,LBR,-15.9,122.4529831,4796632,Africa
51,Madagascar,MDG,-5.6,97.00370756,26169540,Africa
52,Malawi,MWI,-31,80.61787409,17881172,Africa
53,Malaysia,MYS,-9.6,61.59259452,31975812,Asia
54,Mali,MLI,-22.8,96.97097391,19311356,Africa
55,Mauritania,MRT,-14.2,95.3046074,4160018,Africa
56,Mauritius,MUS,-4.1,16.29798441,1294743,Africa
57,Mexico,MEX,-7.5,41.72389542,122839256,North America
58,Mongolia,MNG,-24.1,32.68884984,3096033,Asia
59,Morocco,MAR,-8.5,34.94107786,35528116,Africa
60,Mozambique,MOZ,-33.1,99.0635503,28569448,Africa
61,Myanmar,MMR,-33,25.63372985,52288344,Asia
62,Namibia,NAM,-9.7,60.2383134,2364540,Africa
63,Nepal,NPL,-20.5,44.92066562,28183424,Asia
64,Nicaragua,NIC,-22.5,40.42128915,6480534,North America
65,Niger,NER,-31.7,132.7287078,21737924,Africa
66,Nigeria,NGA,-23.3,80.78120516,193495904,Africa
67,Democratic People's Republic of Korea,PRK,-3.7,20.56851938,25516318,Asia
68,Oman,OMN,-9.5,111.7611408,4541853,Asia
69,Pakistan,PAK,-10.1,66.49255415,216379648,Asia
70,Panama,PAN,-10.7,54.08467643,4096071,North America
71,Paraguay,PRY,-5.7,49.77474409,6355406,South America
72,Peru,PER,-20,37.99795365,31605488,South America
73,Philippines,PHL,-10.5,56.30519168,106738496,Asia
74,Romania,ROU,-4.1,-14.9603493,19698852,Europe
75,Rwanda,RWA,-21.9,73.52747771,12230343,Africa
76,Saudi Arabia,SAU,-7.2,81.58380264,34193120,Asia
77,Senegal,SEN,-19.1,86.5193889,15157793,Africa
78,Sierra Leone,SLE,-18.7,67.085437,7677570,Africa
79,South Africa,ZAF,-5.3,40.47486717,56641208,Africa
80,Sri Lanka,LKA,-6.1,16.76041378,21506816,Asia
81,Suriname,SUR,-7.1,30.85534921,587566,South America
82,United Republic of Tanzania,TZA,-14.1,97.94529093,56267040,Africa
83,Thailand,THA,-15.2,18.70697889,70898208,Asia
84,Togo,TGO,-23.3,86.6647774,7852799,Africa
85,Trinidad and Tobago,TTO,-7.6,9.907578827,1478616,North America
86,Tunisia,TUN,-8,31.03994142,11811441,Africa
87,Turkey,TUR,-11.8,40.40008986,82089824,Asia
88,Uganda,UGA,-9.2,115.2206779,40127096,Africa
89,Uruguay,URY,-7.2,8.770514017,3422205,South America
90,Venezuela (Bolivarian Republic of),VEN,-2.2,49.79096666,30563430,South America
91,Viet Nam,VNM,-24.2,31.54924597,94033048,Asia
92,Yemen,YEM,-7.4,101.9889711,30034386,Asia
93,Zambia,ZMB,-10.3,90.48820584,17298056,Africa
94,Zimbabwe,ZWE,-2,47.68928157,14751101,Africa
